"brand_name","product_name","for_username","overall_videos_viewcount_of_channel","subscribers_channel","first_five_video_avg_of_channel","engagement_rate_of_channel","video_views","video_duration","category","video_type","video_cost"
"mStock","mStock Trading App","@rsfintech","5850242","55700","8999","16.2","9189","2024-08-16 00:14:44","Finance","Dedicated","10000"
"mStock","mStock Trading App","@earningwealth84","872067","115000","32737","28.5","14414","2024-08-16 00:05:59","Earning","Integrated","2500"
"mStock","mStock Trading App","@chargingpointhindi","29134952","237000","18892","8","20475","2024-08-16 00:09:48","Finance","Integrated","7000"
"mStock","mStock Trading App","@mtechupdate3090","13530188","167000","17905","10.7","25403","2024-08-16 00:05:54","Earning","Integrated","4000"
"mStock","mStock Trading App","@harshearningtips","23009064","103000","16643","16.2","24658","2024-08-16 00:05:51","Earning","Integrated","4000"
"mStock","mStock Trading App","@earningvillagee","7421189","122000","36112","29.6","34120","2024-08-16 00:06:07","Earning","Integrated","3300"
"mStock","mStock Trading App","@lts","25396548","236000","9206","3.9","12401","2024-08-16 00:12:47","Finance","Integrated","15000"
"mStock","mStock Trading App","@rupeemonk","5904314","73500","3078","4.2","927","2024-08-16 00:07:48","Finance","Integrated","7000"
"mStock","mStock Trading App","@investwiddeepak","5850721","67200","13984","20.8","24761","2024-08-16 00:13:11","Finance","Integrated","13000"
"mStock","mStock Trading App","@kingkeplernetwork","17372362","292000","22486","7.7","708","2024-08-16 00:25:12","Trading","Dedicated","12000"
"mStock","mStock Trading App","@theharshdalal","5699665","68900","1826","2.7","2181","2024-08-16 00:12:41","Trading","Dedicated","10000"
"mStock","mStock Trading App","@tradesmartly","442903","8950","2794","31.2","6239","2024-08-16 00:23:20","Trading","Integrated","3000"
"mStock","mStock Trading App","@earningbeast99","5478372","84200","8929","10.6","9892","2024-08-16 00:09:01","Earning","Integrated","5000"
"mStock","mStock Trading App","@stocksforself","16958571","79900","2787","3.5","7250","2024-08-16 00:12:57","Trading","Integrated","6600"
"mStock","mStock Trading App","@techbengalikutty","29807378","210000","11342","5.4","11598","2024-08-16 00:08:18","Tech","Integrated","10000"
"mStock","mStock Trading App","@masterminitech","69914366","318000","13889","4.4","25470","2024-08-16 00:09:27","Tech","Integrated","15000"
"mStock","mStock Trading App","@himanshutrader","946953","25800","2051","8","1635","2024-08-16 00:11:01","Finance","Dedicated","10000"
"mStock","mStock Trading App","@investmentwithtarun","11477545","113000","4408","3.9","2063","2024-08-16 00:07:32","Finance","Dedicated","20000"
"mStock","mStock Trading App","@lts","25396548","236000","9206","3.9","17304","2024-08-16 00:11:41","Finance","Integrated","15000"
"mStock","mStock Trading App","@ankitjain05","8370906","68600","3358","4.9","4923","2024-08-16 00:14:16","Finance","Dedicated","15000"
"mStock","mStock Trading App","@marketsupport","39396854","221000","2277","1","2429","2024-08-16 00:10:25","Finance","Dedicated","20000"
"mStock","mStock Trading App","@stockmarketbadshah","23658119","115000","1118","1","1824","2024-08-16 00:09:29","Finance","Dedicated","7000"
"mStock","mStock Trading App","@moneysolution","22275901","160000","12801","8","22447","2024-08-16 00:10:28","Finance","Dedicated","20000"
"mStock","mStock Trading App","@rsfintech","5850242","55700","8999","16.2","6700","2024-08-16 00:12:26","Finance","Dedicated","10000"
"mStock","mStock Trading App","@rupeemonk","5904314","73500","3078","4.2","1326","2024-08-16 00:10:51","Finance","Dedicated","7000"
